emotion,title,artist
Happy,Happy,Pharrell Williams
Happy,Good as Hell,Lizzo
Happy,On Top of the World,Imagine Dragons
Sad,Fix You,Coldplay
Sad,Someone Like You,Adele
Sad,The Night We Met,Lord Huron
Anger,Stronger,Kanye West
Anger,Believer,Imagine Dragons
Anger,Titanium,David Guetta
Fear,Weightless,Marconi Union
Fear,Breathe Me,Sia
Fear,Ocean Eyes,Billie Eilish
Disgust,Shake It Off,Taylor Swift
Disgust,Roar,Katy Perry
Disgust,Dog Days Are Over,Florence and the Machine
Surprise,Levitating,Dua Lipa
Surprise,Walking on Sunshine,Katrina and the Waves
Surprise,Shut Up and Dance,WALK THE MOON
Neutral,Here Comes the Sun,The Beatles
Neutral,Yellow,Coldplay
Neutral,Sunday Best,Surfaces
